model,condition,cov,char,n,abstain,overconf,correct_ans,correct_all,cite_acc,oos_abstain
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol030_doc,100.0,43.01,97,23.7% [16–33] (23/97),6.6% [3–16] (4/61),86.8% [73–94] (33/38),78.7% [67–87] (48/61),87.5% [78–93] (63/72),88.2% [66–97] (15/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol040_doc,100.0,43.01,97,23.7% [16–33] (23/97),6.6% [3–16] (4/61),86.8% [73–94] (33/38),78.7% [67–87] (48/61),87.5% [78–93] (63/72),88.2% [66–97] (15/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol055_doc,100.0,54.98,97,22.7% [15–32] (22/97),11.5% [6–22] (7/61),82.1% [67–91] (32/39),73.8% [62–83] (45/61),88.7% [79–94] (63/71),76.5% [53–90] (13/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov0_periph_doc,0.0,56.989999999999995,97,77.3% [68–85] (75/97),11.5% [6–20] (10/87),16.7% [5–45] (2/12),86.2% [77–92] (75/87),0.0% [0–22] (0/14),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov0_random_doc,0.0,56.989999999999995,97,77.3% [68–85] (75/97),11.5% [6–20] (10/87),16.7% [5–45] (2/12),86.2% [77–92] (75/87),0.0% [0–22] (0/14),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov0_core_doc,0.0,57.93000000000001,97,75.3% [66–83] (73/97),12.6% [7–21] (11/87),21.4% [8–48] (3/14),82.8% [73–89] (72/87),12.5% [3–36] (2/16),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov10_periph_doc,8.8,61.370000000000005,97,70.1% [60–78] (68/97),11.8% [7–20] (10/85),41.2% [22–64] (7/17),68.2% [58–77] (58/85),33.3% [17–55] (7/21),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov10_core_doc,10.0,62.92,97,63.9% [54–73] (62/97),14.6% [9–24] (12/82),40.0% [22–61] (8/20),80.5% [71–88] (66/82),37.0% [22–56] (10/27),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov10_random_doc,10.0,64.23,97,62.9% [53–72] (61/97),14.3% [8–23] (12/84),47.8% [29–67] (11/23),76.2% [66–84] (64/84),32.1% [18–51] (9/28),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov25_core_doc,25.0,69.85,97,56.7% [47–66] (55/97),15.8% [9–26] (12/76),42.9% [24–63] (9/21),76.3% [66–84] (58/76),61.8% [45–76] (21/34),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol070_doc,100.0,69.93,97,20.6% [14–30] (20/97),14.5% [8–25] (9/62),78.6% [64–88] (33/42),71.0% [59–81] (44/62),88.7% [79–94] (63/71),64.7% [41–83] (11/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov25_periph_doc,21.2,70.14,97,54.6% [45–64] (53/97),14.8% [9–24] (12/81),53.6% [36–70] (15/28),69.1% [58–78] (56/81),52.8% [37–68] (19/36),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov40_core_doc,40.0,76.24,97,39.2% [30–49] (38/97),17.9% [11–29] (12/67),58.6% [41–74] (17/29),73.1% [61–82] (49/67),64.7% [51–76] (33/51),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov25_random_doc,25.0,77.95,97,47.4% [38–57] (46/97),16.9% [10–27] (13/77),58.1% [41–74] (18/31),68.8% [58–78] (53/77),55.8% [41–70] (24/43),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov40_periph_doc,38.8,80.66,97,43.3% [34–53] (42/97),15.5% [9–26] (11/71),58.6% [41–74] (17/29),70.4% [59–80] (50/71),70.2% [56–81] (33/47),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol085_doc,100.0,84.24000000000001,97,17.5% [11–26] (17/97),17.5% [10–29] (11/63),76.1% [62–86] (35/46),71.4% [59–81] (45/63),83.6% [73–90] (61/73),58.8% [36–78] (10/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov40_random_doc,40.0,84.86,97,39.2% [30–49] (38/97),16.7% [10–27] (12/72),64.7% [48–79] (22/34),69.4% [58–79] (50/72),66.7% [53–78] (34/51),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov55_periph_doc,55.0,85.15,97,35.1% [26–45] (34/97),14.7% [8–25] (10/68),67.6% [51–81] (23/34),70.6% [59–80] (48/68),76.4% [64–86] (42/55),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov55_core_doc,47.5,86.33999999999999,97,35.1% [26–45] (34/97),22.1% [14–33] (15/68),55.9% [39–71] (19/34),66.2% [54–76] (45/68),65.5% [52–77] (36/55),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov70_periph_doc,70.0,89.25,97,28.9% [21–39] (28/97),15.4% [9–26] (10/65),70.3% [54–83] (26/37),70.8% [59–80] (46/65),77.0% [65–86] (47/61),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov55_random_doc,53.8,90.66,97,35.1% [26–45] (34/97),18.3% [11–29] (13/71),64.9% [49–78] (24/37),66.2% [55–76] (47/71),67.3% [54–78] (37/55),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov70_random_doc,62.5,94.03,97,32.0% [24–42] (31/97),17.6% [10–28] (12/68),67.6% [51–80] (25/37),64.7% [53–75] (44/68),72.4% [60–82] (42/58),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov70_core_doc,70.0,95.62,97,21.6% [15–31] (21/97),19.4% [11–31] (12/62),68.3% [53–80] (28/41),67.7% [55–78] (42/62),80.9% [70–88] (55/68),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov85_periph_doc,85.0,97.35000000000001,97,21.6% [15–31] (21/97),17.5% [10–29] (11/63),71.4% [56–83] (30/42),68.3% [56–78] (43/63),82.4% [72–90] (56/68),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov85_random_doc,85.0,98.57000000000001,97,23.7% [16–33] (23/97),17.9% [11–29] (12/67),70.5% [56–82] (31/44),67.2% [55–77] (45/67),75.8% [64–84] (50/66),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov85_core_doc,81.2,98.86,97,16.5% [10–25] (16/97),20.3% [12–32] (12/59),69.8% [55–81] (30/43),66.1% [53–77] (39/59),80.8% [70–88] (59/73),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_core_doc,100.0,100.0,97,16.5% [10–25] (16/97),17.7% [10–29] (11/62),73.9% [60–84] (34/46),69.4% [57–79] (43/62),82.2% [72–89] (60/73),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_periph_doc,100.0,100.0,97,16.5% [10–25] (16/97),17.7% [10–29] (11/62),73.9% [60–84] (34/46),69.4% [57–79] (43/62),82.2% [72–89] (60/73),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_random_doc,100.0,100.0,97,16.5% [10–25] (16/97),17.7% [10–29] (11/62),73.9% [60–84] (34/46),69.4% [57–79] (43/62),82.2% [72–89] (60/73),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol100_doc,100.0,100.0,97,16.5% [10–25] (16/97),17.7% [10–29] (11/62),73.9% [60–84] (34/46),69.4% [57–79] (43/62),82.2% [72–89] (60/73),52.9% [31–74] (9/17)
qwen3:14b,cov100_vol030_doc,100.0,43.01,97,16.5% [10–25] (16/97),7.8% [3–17] (5/64),87.5% [75–94] (42/48),89.1% [79–95] (57/64),92.4% [84–96] (73/79),88.2% [66–97] (15/17)
qwen3:14b,cov100_vol040_doc,100.0,43.01,97,16.5% [10–25] (16/97),7.8% [3–17] (5/64),87.5% [75–94] (42/48),89.1% [79–95] (57/64),92.4% [84–96] (73/79),88.2% [66–97] (15/17)
qwen3:14b,cov100_vol055_doc,100.0,54.98,97,14.4% [9–23] (14/97),11.1% [5–21] (7/63),83.7% [71–91] (41/49),85.7% [75–92] (54/63),92.4% [84–96] (73/79),76.5% [53–90] (13/17)
qwen3:14b,cov0_core_doc,0.0,57.93000000000001,97,47.4% [38–57] (46/97),28.4% [19–40] (19/67),9.5% [3–29] (2/21),68.7% [57–78] (46/67),13.6% [6–27] (6/44),58.8% [36–78] (10/17)
qwen3:14b,cov100_vol070_doc,100.0,69.93,97,12.4% [7–20] (12/97),15.9% [9–27] (10/63),80.4% [68–89] (41/51),82.5% [71–90] (52/63),92.4% [84–96] (73/79),64.7% [41–83] (11/17)
