model,coverage_pct,pct_answers_with_citation,citation_acc,n_cited
Qwen3-4B-Instruct,0.0,15.120274914089347,4.545454545454546,44
Qwen3-4B-Instruct,9.668421052631578,26.11683848797251,34.21052631578947,76
Qwen3-4B-Instruct,23.78938053097345,38.83161512027492,56.63716814159292,113
Qwen3-4B-Instruct,39.62147651006712,51.20274914089347,67.11409395973155,149
Qwen3-4B-Instruct,52.1,56.70103092783505,69.6969696969697,165
Qwen3-4B-Instruct,67.67379679144385,64.26116838487972,77.00534759358288,187
Qwen3-4B-Instruct,83.65990338164251,71.1340206185567,79.71014492753623,207
Qwen3-4B-Instruct,100.0,75.25773195876289,82.1917808219178,219
Qwen3-4B-Instruct,0.0,45.36082474226804,13.636363636363635,44
Qwen3-4B-Instruct,47.5,71.1340206185567,62.31884057971014,69
Qwen3-4B-Instruct,100.0,81.44329896907216,89.87341772151899,79
Qwen3-8B,0.0,50.171821305841924,10.95890410958904,146
Qwen3-8B,9.6325,54.98281786941581,29.375,160
Qwen3-8B,23.78723404255319,64.60481099656357,43.61702127659575,188
Qwen3-8B,39.61365853658537,70.44673539518901,57.56097560975609,205
Qwen3-8B,52.116037735849055,72.85223367697594,61.32075471698113,212
Qwen3-8B,67.56756756756756,76.28865979381443,70.72072072072072,222
Qwen3-8B,83.71130434782609,79.03780068728523,78.26086956521739,230
Qwen3-8B,100.0,80.41237113402062,84.61538461538461,234
