model,condition,cov,char,n,abstain,overconf,correct_ans,correct_all,cite_acc,oos_abstain
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol030_doc,100.0,43.01,97,23.7% [16–33] (23/97),6.6% [3–16] (4/61),86.8% [73–94] (33/38),78.7% [67–87] (48/61),87.5% [78–93] (63/72),88.2% [66–97] (15/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol040_doc,100.0,43.01,97,23.7% [16–33] (23/97),6.6% [3–16] (4/61),86.8% [73–94] (33/38),78.7% [67–87] (48/61),87.5% [78–93] (63/72),88.2% [66–97] (15/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol055_doc,100.0,54.98,97,22.7% [15–32] (22/97),11.5% [6–22] (7/61),82.1% [67–91] (32/39),73.8% [62–83] (45/61),88.7% [79–94] (63/71),76.5% [53–90] (13/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov0_core_doc,0.0,57.93000000000001,97,75.3% [66–83] (73/97),12.6% [7–21] (11/87),21.4% [8–48] (3/14),82.8% [73–89] (72/87),12.5% [3–36] (2/16),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol070_doc,100.0,69.93,97,20.6% [14–30] (20/97),14.5% [8–25] (9/62),78.6% [64–88] (33/42),71.0% [59–81] (44/62),88.7% [79–94] (63/71),64.7% [41–83] (11/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol085_doc,100.0,84.24000000000001,97,17.5% [11–26] (17/97),17.5% [10–29] (11/63),76.1% [62–86] (35/46),71.4% [59–81] (45/63),83.6% [73–90] (61/73),58.8% [36–78] (10/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov55_core_doc,47.5,86.33999999999999,97,35.1% [26–45] (34/97),22.1% [14–33] (15/68),55.9% [39–71] (19/34),66.2% [54–76] (45/68),65.5% [52–77] (36/55),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_core_doc,100.0,100.0,97,16.5% [10–25] (16/97),17.7% [10–29] (11/62),73.9% [60–84] (34/46),69.4% [57–79] (43/62),82.2% [72–89] (60/73),52.9% [31–74] (9/17)
kamekichi128/qwen3-4b-instruct-2507:latest,cov100_vol100_doc,100.0,100.0,97,16.5% [10–25] (16/97),17.7% [10–29] (11/62),73.9% [60–84] (34/46),69.4% [57–79] (43/62),82.2% [72–89] (60/73),52.9% [31–74] (9/17)
qwen3:14b,cov100_vol030_doc,100.0,43.01,97,16.5% [10–25] (16/97),7.8% [3–17] (5/64),87.5% [75–94] (42/48),89.1% [79–95] (57/64),92.4% [84–96] (73/79),88.2% [66–97] (15/17)
qwen3:14b,cov100_vol040_doc,100.0,43.01,97,16.5% [10–25] (16/97),7.8% [3–17] (5/64),87.5% [75–94] (42/48),89.1% [79–95] (57/64),92.4% [84–96] (73/79),88.2% [66–97] (15/17)
qwen3:14b,cov100_vol055_doc,100.0,54.98,97,14.4% [9–23] (14/97),11.1% [5–21] (7/63),83.7% [71–91] (41/49),85.7% [75–92] (54/63),92.4% [84–96] (73/79),76.5% [53–90] (13/17)
qwen3:14b,cov0_core_doc,0.0,57.93000000000001,97,47.4% [38–57] (46/97),28.4% [19–40] (19/67),9.5% [3–29] (2/21),68.7% [57–78] (46/67),13.6% [6–27] (6/44),58.8% [36–78] (10/17)
qwen3:14b,cov100_vol070_doc,100.0,69.93,97,12.4% [7–20] (12/97),15.9% [9–27] (10/63),80.4% [68–89] (41/51),82.5% [71–90] (52/63),92.4% [84–96] (73/79),64.7% [41–83] (11/17)
qwen3:14b,cov100_vol085_doc,100.0,84.24000000000001,97,11.3% [6–19] (11/97),20.3% [12–32] (13/64),75.5% [62–85] (40/53),78.1% [67–86] (50/64),89.9% [81–95] (71/79),58.8% [36–78] (10/17)
qwen3:14b,cov55_core_doc,47.5,86.33999999999999,97,21.6% [15–31] (21/97),31.2% [21–43] (20/64),51.2% [37–65] (22/43),62.5% [50–73] (40/64),62.3% [51–73] (43/69),58.8% [36–78] (10/17)
qwen3:14b,cov100_core_doc,100.0,100.0,97,10.3% [6–18] (10/97),22.2% [14–34] (14/63),73.6% [60–84] (39/53),76.2% [64–85] (48/63),89.9% [81–95] (71/79),52.9% [31–74] (9/17)
qwen3:14b,cov100_vol100_doc,100.0,100.0,97,10.3% [6–18] (10/97),22.2% [14–34] (14/63),73.6% [60–84] (39/53),76.2% [64–85] (48/63),89.9% [81–95] (71/79),52.9% [31–74] (9/17)
qwen3:8b,cov100_vol030_doc,100.0,43.01,97,10.3% [6–18] (10/97),18.8% [11–30] (12/64),77.8% [65–87] (42/54),79.7% [68–88] (51/64),88.6% [80–94] (70/79),52.9% [31–74] (9/17)
qwen3:8b,cov100_vol040_doc,100.0,43.01,97,10.3% [6–18] (10/97),18.8% [11–30] (12/64),77.8% [65–87] (42/54),79.7% [68–88] (51/64),88.6% [80–94] (70/79),52.9% [31–74] (9/17)
qwen3:8b,cov100_vol055_doc,100.0,54.98,97,7.2% [4–14] (7/97),22.2% [14–34] (14/63),75.0% [62–84] (42/56),77.8% [66–86] (49/63),88.8% [80–94] (71/80),41.2% [22–64] (7/17)
qwen3:8b,cov0_core_doc,0.0,57.93000000000001,97,35.1% [26–45] (34/97),43.5% [32–55] (30/69),14.3% [6–29] (5/35),53.6% [42–65] (37/69),12.0% [6–24] (6/50),23.5% [10–47] (4/17)
qwen3:8b,cov100_vol070_doc,100.0,69.93,97,6.2% [3–13] (6/97),25.8% [17–38] (16/62),71.4% [59–82] (40/56),72.6% [60–82] (45/62),87.3% [78–93] (69/79),29.4% [13–53] (5/17)
qwen3:8b,cov100_vol085_doc,100.0,84.24000000000001,97,5.2% [2–12] (5/97),29.2% [20–41] (19/65),68.3% [56–79] (41/60),67.7% [56–78] (44/65),84.6% [75–91] (66/78),17.6% [6–41] (3/17)
qwen3:8b,cov55_core_doc,47.5,86.33999999999999,97,13.4% [8–22] (13/97),41.3% [30–54] (26/63),48.0% [35–61] (24/50),52.4% [40–64] (33/63),54.3% [43–65] (38/70),17.6% [6–41] (3/17)
qwen3:8b,cov100_core_doc,100.0,100.0,97,4.1% [2–10] (4/97),31.7% [22–44] (20/63),66.1% [53–77] (39/59),65.1% [53–76] (41/63),84.6% [75–91] (66/78),11.8% [3–34] (2/17)
qwen3:8b,cov100_vol100_doc,100.0,100.0,97,4.1% [2–10] (4/97),31.7% [22–44] (20/63),66.1% [53–77] (39/59),65.1% [53–76] (41/63),84.6% [75–91] (66/78),11.8% [3–34] (2/17)
