model,axis,char_pct,coverage_pct,citation_acc,ci_lo,ci_hi,k,n
Qwen3-4B-Instruct,Coverage axis,57.93000000000001,0.0,12.5,3.497748774324047,36.02282726575869,2.0,16.0
Qwen3-4B-Instruct,Coverage axis,86.34000000000002,47.5,65.45454545454545,52.25390350756162,76.63729045791027,36.0,55.0
Qwen3-4B-Instruct,Coverage axis,100.0,100.0,82.1917808219178,71.87827114087395,89.28662697704472,60.0,73.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),43.01,100.0,87.5,77.91894627583916,93.2822157794265,63.0,72.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),43.01,100.0,87.5,77.91894627583916,93.2822157794265,63.0,72.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),54.980000000000004,100.0,88.73239436619718,79.30995148918869,94.17872827020713,63.0,71.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),69.93000000000004,100.0,88.73239436619718,79.30995148918869,94.17872827020713,63.0,71.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),84.24000000000001,100.0,83.56164383561644,73.42895643180931,90.33870330814847,61.0,73.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),100.0,100.0,82.1917808219178,71.87827114087395,89.28662697704472,60.0,73.0
Qwen3-4B-Instruct,Coverage axis,57.92999999999999,0.0,13.636363636363635,6.402954497555872,26.709453048515442,6.0,44.0
Qwen3-4B-Instruct,Coverage axis,86.34000000000002,47.5,62.31884057971014,50.52188643395578,72.81647097298064,43.0,69.0
Qwen3-4B-Instruct,Coverage axis,100.0,100.0,89.87341772151899,81.27005885203687,94.77881920594146,71.0,79.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),43.01000000000002,100.0,92.40506329113924,84.40458309717235,96.47279515496334,73.0,79.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),43.01000000000002,100.0,92.40506329113924,84.40458309717235,96.47279515496334,73.0,79.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),54.979999999999976,100.0,92.40506329113924,84.40458309717235,96.47279515496334,73.0,79.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),69.93000000000004,100.0,92.40506329113924,84.40458309717235,96.47279515496334,73.0,79.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),84.24,100.0,89.87341772151899,81.27005885203687,94.77881920594146,71.0,79.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),100.0,100.0,89.87341772151899,81.27005885203687,94.77881920594146,71.0,79.0
Qwen3-8B,Coverage axis,57.93,0.0,12.0,5.617600150932274,23.80481738320299,6.0,50.0
Qwen3-8B,Coverage axis,86.34000000000002,47.5,54.285714285714285,42.69825920547557,65.42725740243641,38.0,70.0
Qwen3-8B,Coverage axis,100.0,100.0,84.61538461538461,75.00673346677367,90.97449509161288,66.0,78.0
Qwen3-8B,Volume axis (coverage fixed at 100%),43.01000000000002,100.0,88.60759493670885,79.7452072890178,93.88942067188184,70.0,79.0
Qwen3-8B,Volume axis (coverage fixed at 100%),43.01000000000002,100.0,88.60759493670885,79.7452072890178,93.88942067188184,70.0,79.0
Qwen3-8B,Volume axis (coverage fixed at 100%),54.980000000000004,100.0,88.75,79.98178190762712,93.96731305336952,71.0,80.0
Qwen3-8B,Volume axis (coverage fixed at 100%),69.93000000000004,100.0,87.34177215189874,78.24364133349648,92.97673653032447,69.0,79.0
Qwen3-8B,Volume axis (coverage fixed at 100%),84.24,100.0,84.61538461538461,75.00673346677367,90.97449509161288,66.0,78.0
Qwen3-8B,Volume axis (coverage fixed at 100%),100.0,100.0,84.61538461538461,75.00673346677367,90.97449509161288,66.0,78.0
