model,coverage_pct,pct_high,ci_lo,ci_hi,n
Qwen3-4B-Instruct,0.0,21.649484536082475,14.618778380932268,30.8401621746627,97.0
Qwen3-4B-Instruct,47.5,60.824742268041234,50.87606012781543,69.94870802368467,97.0
Qwen3-4B-Instruct,100.0,77.31958762886599,68.0395582012087,84.51818999067251,97.0
Qwen3-4B-Instruct,closed-book,2.0618556701030926,,,97.0
Qwen3-4B-Instruct,0.0,49.48453608247423,39.74582344396337,59.26252092977472,97.0
Qwen3-4B-Instruct,47.5,76.28865979381443,66.92591230575403,83.64852463360334,97.0
Qwen3-4B-Instruct,100.0,90.72164948453609,83.29911632283566,95.04167815185518,97.0
Qwen3-4B-Instruct,closed-book,3.0927835051546393,,,97.0
Qwen3-8B,0.0,95.87628865979381,89.87247439592629,98.38487634138367,97.0
Qwen3-8B,47.5,97.9381443298969,92.79124175258421,99.43273148977336,97.0
Qwen3-8B,100.0,98.96907216494846,94.38950097571009,99.81778351917131,97.0
Qwen3-8B,closed-book,2.0618556701030926,,,97.0
