outcome,term,coef,se,z,p,odds_ratio,ci_lo,ci_hi
cite_ok,절편,-1.3475095626108045,0.42899355201677625,-3.1410951429827287,0.0016831734300921664,0.2598866868917252,0.11210476151952327,0.6024819027137862
cite_ok,커버리지(+10%p),0.3553581661035703,0.04102906729674929,8.661131961235812,0.0,1.42669155533767,1.3164552028059826,1.5461587980611307
cite_ok,문자비율(+10%p),-0.03917563298191824,0.042250436627634974,-0.9272243344414203,0.3538100707568643,0.9615818088341243,0.8851616749467428,1.0445996491390557
cite_ok,모델=Qwen3-14B,0.3784433194856152,0.2894591709407224,1.3074151986813909,0.19107173826281643,1.4600100503320323,0.8278806888652399,2.574802596244064
cite_ok,모델=Qwen3-8B,-0.029760385789084798,0.24370474194623387,-0.1221165642958664,0.9028067036485927,0.9706780939505415,0.6020511305176544,1.5650098709478746
correct_answered,절편,-0.43255994364352207,0.46395720774245724,-0.9323272414460175,0.3511674335233128,0.6488459577779065,0.26134880109535147,1.6108781642014471
correct_answered,커버리지(+10%p),0.26069655969224576,0.03080627502766484,8.462449921586867,0.0,1.2978337905931294,1.221790456443427,1.3786100056047728
correct_answered,문자비율(+10%p),-0.10541515669125204,0.04466047706034573,-2.3603679053587787,0.018256818975455502,0.8999508244134315,0.8245247796649741,0.9822767081560644
correct_answered,모델=Qwen3-14B,-0.0376857648827446,0.20397395264013485,-0.1847577320288168,0.8534190619675575,0.963015506640966,0.6456695969679255,1.4363365882272234
correct_answered,모델=Qwen3-8B,-0.43120259339434996,0.2280736866082785,-1.890628418415272,0.05867396392817814,0.6497272669876982,0.4155223793158208,1.0159393151396279
overconf_answered,절편,0.315137337387418,0.458855209044753,0.68679036692963,0.49221484106197133,1.3704475117140529,0.5575504165523791,3.368531932908706
overconf_answered,커버리지(+10%p),-0.26404845326246773,0.030169292266606078,-8.752225638210906,0.0,0.7679363297346993,0.723844144683773,0.8147143426628607
overconf_answered,문자비율(+10%p),0.1153445090061566,0.04415953761230863,2.6119953976602894,0.009001546591741016,1.1222599996581866,1.0292119432011035,1.2237202601006918
overconf_answered,모델=Qwen3-14B,0.05212330735918224,0.18791594241911921,0.277375653646931,0.7814916740567104,1.0535056395028635,0.7289244613401494,1.5226188601543165
overconf_answered,모델=Qwen3-8B,0.5038696481974948,0.23395274041298955,2.1537240696904396,0.03126181738663325,1.6551136020535575,1.0463738415646375,2.6179945702833027
abstain,절편,1.3915858047638192,0.2418394588241258,5.754171844123376,8.706755538767652e-09,4.0212218722296,2.5032482172413073,6.459697138431622
abstain,커버리지(+10%p),-0.19358036623570482,0.02847515625114787,-6.798219631469146,1.0591971744133843e-11,0.8240036114655697,0.7792754923281402,0.8712989929656269
abstain,문자비율(+10%p),-0.11376979459285173,0.03551829938878816,-3.2031318095360373,0.001359417458188128,0.8924633821326331,0.8324481160048617,0.9568054430469353
abstain,모델=Qwen3-14B,-0.6543530284597744,0.1872518710602055,-3.4945072898597944,0.00047493763922235033,0.519778235553783,0.36010488174739014,0.7502520178133131
abstain,모델=Qwen3-8B,-1.3238327232325302,0.20107915105958088,-6.583639906258959,4.590683388983052e-11,0.2661134058611987,0.17943529360514424,0.3946622950046926
correct_all,절편,1.5417162082684432,0.3009519614841709,5.12279833852996,3.0103425618932533e-07,4.672602552785635,2.5905266703970953,8.428098759142319
correct_all,커버리지(+10%p),0.061981803016231934,0.02356951631355269,2.6297443779358267,0.00854490923719231,1.0639429839986707,1.0159116634048428,1.1142451789618857
correct_all,문자비율(+10%p),-0.13698719920314922,0.039758326044640364,-3.445497153208638,0.0005700099711549722,0.8719813881172751,0.806612349307198,0.9426480289769904
correct_all,모델=Qwen3-14B,0.25376356455871835,0.23146950599894223,1.096315315762924,0.2729408091469543,1.2888670343939939,0.8188058089779773,2.0287816893007022
correct_all,모델=Qwen3-8B,-0.30255548106707986,0.23639947395604818,-1.2798483685430346,0.2005984690883038,0.7389274906359837,0.464919997778371,1.1744253614099829
overconf_all,절편,-2.3781439561027304,0.3754197777631443,-6.3346261890419715,2.3791746350809717e-10,0.09272251495728576,0.04442498690968246,0.19352768291148906
overconf_all,커버리지(+10%p),-0.08623632973565229,0.023533675728243254,-3.6643799605073286,0.000247938487781596,0.9173774020406512,0.8760242668141011,0.9606826313561979
overconf_all,문자비율(+10%p),0.1678068316322574,0.04654952812404328,3.604909402842766,0.000312261840107686,1.1827081267822273,1.079579305184104,1.2956885209263835
overconf_all,모델=Qwen3-14B,0.363308620318838,0.2012271192019372,1.8054654947092261,0.07100187032536898,1.438079611350398,0.9693890163154201,2.1333777603983104
overconf_all,모델=Qwen3-8B,0.978466741265867,0.23002816222178965,4.2536823831268284,2.1028351454566163e-05,2.6603740714362702,1.6948933659020986,4.1758321451706095
