model,axis,char_pct,coverage_pct,citation_acc,ci_lo,ci_hi,k,n
Qwen3-4B-Instruct,Coverage axis,57.33181818181817,0.0,4.545454545454546,1.2555109949594967,15.134998437629656,2.0,44.0
Qwen3-4B-Instruct,Coverage axis,62.97434210526315,9.668421052631578,34.21052631578947,24.536326817494704,45.40410218456228,26.0,76.0
Qwen3-4B-Instruct,Coverage axis,73.02469026548674,23.78938053097345,56.63716814159292,47.430454749051755,65.40745411600199,64.0,113.0
Qwen3-4B-Instruct,Coverage axis,80.58469798657717,39.62147651006712,67.11409395973155,59.223551160856815,74.14435856305562,100.0,149.0
Qwen3-4B-Instruct,Coverage axis,87.38333333333331,52.1,69.6969696969697,62.30235657608585,76.19529705354108,115.0,165.0
Qwen3-4B-Instruct,Coverage axis,93.04893048128343,67.67379679144385,77.00534759358288,70.46690415592087,82.45660660747932,144.0,187.0
Qwen3-4B-Instruct,Coverage axis,98.27149758454105,83.65990338164251,79.71014492753623,73.71358221725308,84.62409040556959,165.0,207.0
Qwen3-4B-Instruct,Coverage axis,100.0,100.0,82.1917808219178,76.58314958938053,86.69053419737543,180.0,219.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),43.01,100.0,87.5,77.91894627583916,93.2822157794265,63.0,72.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),43.01,100.0,87.5,77.91894627583916,93.2822157794265,63.0,72.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),54.980000000000004,100.0,88.73239436619718,79.30995148918869,94.17872827020713,63.0,71.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),69.93000000000004,100.0,88.73239436619718,79.30995148918869,94.17872827020713,63.0,71.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),84.24000000000001,100.0,83.56164383561644,73.42895643180931,90.33870330814847,61.0,73.0
Qwen3-4B-Instruct,Volume axis (coverage fixed at 100%),100.0,100.0,82.1917808219178,71.87827114087395,89.28662697704472,60.0,73.0
Qwen3-8B,Coverage axis,57.311917808219185,0.0,10.95890410958904,6.859008773127459,17.060578704716942,16.0,146.0
Qwen3-8B,Coverage axis,62.9038125,9.6325,29.375,22.86747315770294,36.84968239312166,47.0,160.0
Qwen3-8B,Coverage axis,72.82925531914894,23.78723404255319,43.61702127659575,36.7262284468807,50.76344133172971,82.0,188.0
Qwen3-8B,Coverage axis,80.64848780487806,39.61365853658537,57.56097560975609,50.71718862471486,64.12660732224593,118.0,205.0
Qwen3-8B,Coverage axis,87.41424528301887,52.116037735849055,61.32075471698113,54.61899164074199,67.61955338311972,130.0,212.0
Qwen3-8B,Coverage axis,93.00968468468469,67.56756756756756,70.72072072072072,64.42310055174713,76.3134411268306,157.0,222.0
Qwen3-8B,Coverage axis,98.25991304347825,83.71130434782609,78.26086956521739,72.48961254624373,83.10360888489777,180.0,230.0
Qwen3-8B,Coverage axis,100.0,100.0,84.61538461538461,79.43699324719509,88.67560613024561,198.0,234.0
Qwen3-8B,Volume axis (coverage fixed at 100%),43.01000000000002,100.0,88.60759493670885,79.7452072890178,93.88942067188184,70.0,79.0
Qwen3-8B,Volume axis (coverage fixed at 100%),43.01000000000002,100.0,88.60759493670885,79.7452072890178,93.88942067188184,70.0,79.0
Qwen3-8B,Volume axis (coverage fixed at 100%),54.980000000000004,100.0,88.75,79.98178190762712,93.96731305336952,71.0,80.0
Qwen3-8B,Volume axis (coverage fixed at 100%),69.93000000000004,100.0,87.34177215189874,78.24364133349648,92.97673653032447,69.0,79.0
Qwen3-8B,Volume axis (coverage fixed at 100%),84.24,100.0,84.61538461538461,75.00673346677367,90.97449509161288,66.0,78.0
Qwen3-8B,Volume axis (coverage fixed at 100%),100.0,100.0,84.61538461538461,75.00673346677367,90.97449509161288,66.0,78.0
