doc_id,source,tier,doc_type,doc_name,issue_no,effective_date,n_units,n_chars
013774,law,T1_법률,법률,국가연구개발혁신법,21421,20260611,332,25030
013716,law,T1_법률,법률,국방과학기술혁신 촉진법,19948,20240710,132,11215
000943,law,T1_법률,법률,국방과학연구소법,20186,20240206,98,7021
000936,law,T1_법률,법률,군수품관리법,21065,20260102,99,9479
010956,law,T1_법률,법률,군용항공기 비행안전성 인증에 관한 법률,20016,20240717,98,7703
001467,law,T1_법률,법률,대외무역법,21065,20260102,442,44681
000759,law,T1_법률,법률,민ㆍ군기술협력사업 촉진법,20727,20260201,175,17857
010107,law,T1_법률,법률,방위사업법,21242,20260701,585,51954
013668,law,T1_법률,법률,방위산업 발전 및 지원에 관한 법률,21065,20251001,257,17887
012437,law,T1_법률,법률,방위산업기술 보호법,21065,20251001,203,13131
013933,law,T2_대통령령,대통령령,국가연구개발혁신법 시행령,36291,20260611,661,49209
014049,law,T2_대통령령,대통령령,국방과학기술혁신 촉진법 시행령,36453,20260701,215,15595
002850,law,T2_대통령령,대통령령,국방과학연구소법 시행령,35947,20260102,75,5937
003000,law,T2_대통령령,대통령령,군수품관리법 시행령,35947,20260102,297,22137
003313,law,T2_대통령령,대통령령,대외무역법 시행령,36181,20260317,713,65366
010126,law,T2_대통령령,대통령령,방위사업법 시행령,36454,20260701,1037,82132
014002,law,T2_대통령령,대통령령,방위산업 발전 및 지원에 관한 법률 시행령,36331,20260519,376,22266
012592,law,T2_대통령령,대통령령,방위산업기술 보호법 시행령,35543,20250604,180,11382
014050,law,T3_부령,국방부령,국방과학기술혁신 촉진법 시행규칙,01049,20210401,68,5157
007199,law,T3_부령,국방부령,방산원가대상물자의 원가계산에 관한 규칙,01202,20260130,246,22131
012527,law,T3_부령,국방부령,방위사업감독관 직무 등에 관한 규칙,00994,20190917,48,3358
010194,law,T3_부령,국방부령,방위사업법 시행규칙,01214,20260701,381,32009
007203,law,T3_부령,국방부령,방위산업에 관한 계약사무 처리규칙,01200,20260102,153,12418
007204,law,T3_부령,국방부령,방위산업에 관한 착수금 및 중도금 지급규칙,01213,20260515,111,12906
2100000171270,admrul,T4_행정규칙,훈령,(방위사업청) 공무원 징계규정,462,20181128,49,15616
2100000264344,admrul,T4_행정규칙,훈령,(방위사업청) 공무직 및 기간제 근로자 관리규정,921,20250915,404,86332
2100000267644,admrul,T4_행정규칙,훈령,(방위사업청) 공익신고 처리 및 신고자 보호 등에 관한 규정,927,20251110,209,59222
2100000171249,admrul,T4_행정규칙,훈령,(방위사업청) 멘토링 운영규정,458,20181128,31,3373
2100000265078,admrul,T4_행정규칙,예규,(방위사업청) 물품 적격심사 기준,1005,20250929,114,62931
2100000245608,admrul,T4_행정규칙,훈령,(방위사업청) 민·군기술협력사업 공동시행규정,865,20240806,751,314634
2100000257950,admrul,T4_행정규칙,훈령,(방위사업청) 민원 처리 규정,917,20250416,159,47730
2100000182443,admrul,T4_행정규칙,훈령,(방위사업청) 보수조정심의위원회 운영규정,548,20190918,25,2101
2100000171276,admrul,T4_행정규칙,훈령,(방위사업청) 보직관리규정,465,20181128,27,10255
2100000236046,admrul,T4_행정규칙,예규,(방위사업청) 성희롱·성폭력 예방 및 2차 피해 방지 지침,902,20240201,164,44569
2100000196823,admrul,T4_행정규칙,훈령,(방위사업청) 소형무장헬기·소형민수헬기 연계개발사업 공동규정,655,20210101,163,15663
2100000257908,admrul,T4_행정규칙,훈령,(방위사업청) 자체감사에 관한 규정,908,20250416,447,85990
